variant,N,m_max,trial,P1_s,P2_s,P3_s,total_s,global_MB,rounds,rev,timestamp
hybrid_queue,256,1,1,0.260711,0.00138951,0.996235,1.26543,395.009,31091,3fec8a9,2026-08-24T11:53:34Z
hybrid_queue,256,1,2,0.284263,0.0019339,1.05552,1.34885,395.009,31091,3fec8a9,2026-08-24T11:53:36Z
hybrid_queue,256,1,3,0.259016,0.00139752,0.999554,1.2672,395.009,31091,3fec8a9,2026-08-24T11:53:37Z
module1_static,256,1,vm_rounds,4618,NA,NA,NA,NA,NA,3fec8a9,2026-08-24T11:53:37Z
hybrid_queue,256,2,1,0.270865,0.00135165,0.954461,1.22912,395.026,32115,3fec8a9,2026-08-24T11:53:39Z
hybrid_queue,256,2,2,0.27691,0.00138857,0.978132,1.25889,395.026,32115,3fec8a9,2026-08-24T11:53:40Z
hybrid_queue,256,2,3,0.269027,0.00137966,0.969953,1.24287,395.026,32115,3fec8a9,2026-08-24T11:53:42Z
module1_static,256,2,vm_rounds,5386,NA,NA,NA,NA,NA,3fec8a9,2026-08-24T11:53:42Z
hybrid_queue,256,3,1,0.282226,0.00137322,1.00747,1.29812,397.101,33148,3fec8a9,2026-08-24T11:53:43Z
hybrid_queue,256,3,2,0.284736,0.00143351,0.957399,1.25073,397.101,33148,3fec8a9,2026-08-24T11:53:45Z
hybrid_queue,256,3,3,0.278192,0.0014081,0.978123,1.26487,397.101,33148,3fec8a9,2026-08-24T11:53:46Z
module1_static,256,3,vm_rounds,6154,NA,NA,NA,NA,NA,3fec8a9,2026-08-24T11:53:46Z
hybrid_queue,256,5,1,0.319002,0.00136566,0.960559,1.28788,399.194,35205,3fec8a9,2026-08-24T11:53:48Z
hybrid_queue,256,5,2,0.334776,0.00138046,0.97723,1.32042,399.194,35205,3fec8a9,2026-08-24T11:53:49Z
hybrid_queue,256,5,3,0.308046,0.00140767,0.981159,1.29783,399.194,35205,3fec8a9,2026-08-24T11:53:51Z
module1_static,256,5,vm_rounds,7690,NA,NA,NA,NA,NA,3fec8a9,2026-08-24T11:53:51Z
hybrid_queue,256,10,1,0.437267,0.00137223,0.979603,1.42073,403.394,40343,3fec8a9,2026-08-24T11:53:53Z
hybrid_queue,256,10,2,0.377788,0.00139971,0.951789,1.33347,403.394,40343,3fec8a9,2026-08-24T11:53:54Z
hybrid_queue,256,10,3,0.372835,0.00141568,0.976483,1.35317,403.394,40343,3fec8a9,2026-08-24T11:53:56Z
module1_static,256,10,vm_rounds,11530,NA,NA,NA,NA,NA,3fec8a9,2026-08-24T11:53:56Z
