variant,N,m_max,trial,P1_s,P2_s,P3_s,total_s,global_MB,rounds,rev,timestamp
hybrid_queue,256,3,1,0.283662,0.00141249,1.1414,1.43726,397.101,33148,3fec8a9,2026-08-24T11:15:39Z
hybrid_queue,256,3,2,0.332252,0.00162927,1.07179,1.41384,397.101,33148,3fec8a9,2026-08-24T11:15:41Z
hybrid_queue,256,3,3,0.29847,0.00140191,1.15874,1.46628,397.101,33148,3fec8a9,2026-08-24T11:15:42Z
hybrid_queue,256,3,4,0.339001,0.0019883,1.23799,1.58691,397.101,33148,3fec8a9,2026-08-24T11:15:44Z
hybrid_queue,256,3,5,0.320109,0.0017084,1.13926,1.46919,397.101,33148,3fec8a9,2026-08-24T11:15:45Z
hybrid_partial_select,256,3,1,0.302456,0.00196659,1.019,1.33074,392.924,32860,3fec8a9,2026-08-24T11:15:47Z
hybrid_partial_select,256,3,2,0.291751,0.00143863,1.00834,1.30886,392.924,32860,3fec8a9,2026-08-24T11:15:49Z
hybrid_partial_select,256,3,3,0.315417,0.00153125,0.999183,1.32354,392.924,32860,3fec8a9,2026-08-24T11:15:50Z
hybrid_partial_select,256,3,4,0.323666,0.00166525,1.10528,1.44224,392.924,32860,3fec8a9,2026-08-24T11:15:52Z
hybrid_partial_select,256,3,5,0.313148,0.00154667,1.06013,1.38272,392.924,32860,3fec8a9,2026-08-24T11:15:53Z
hybrid_batcher_sort,256,3,1,0.281542,0.00134968,2.69208,2.98472,1039.93,20723,3fec8a9,2026-08-24T11:15:58Z
hybrid_batcher_sort,256,3,2,0.292647,0.00148338,2.73883,3.04303,1039.93,20723,3fec8a9,2026-08-24T11:16:01Z
hybrid_batcher_sort,256,3,3,0.28894,0.0014267,2.54818,2.84761,1039.93,20723,3fec8a9,2026-08-24T11:16:04Z
hybrid_batcher_sort,256,3,4,0.286958,0.00139112,2.77871,3.07616,1039.93,20723,3fec8a9,2026-08-24T11:16:07Z
hybrid_batcher_sort,256,3,5,0.290592,0.00136963,2.58312,2.88441,1039.93,20723,3fec8a9,2026-08-24T11:16:10Z
ab_queue,256,3,1,0.559931,0.0862436,0.257908,0.905797,10.6547,35587,3fec8a9,2026-08-24T11:16:11Z
ab_queue,256,3,2,0.132534,0.0850555,0.252603,0.47216,10.6547,35587,3fec8a9,2026-08-24T11:16:12Z
ab_queue,256,3,3,0.13339,0.0883732,0.25731,0.480802,10.6547,35587,3fec8a9,2026-08-24T11:16:13Z
ab_queue,256,3,4,0.127257,0.0797309,0.261045,0.472633,10.6547,35587,3fec8a9,2026-08-24T11:16:13Z
ab_queue,256,3,5,0.134418,0.0852586,0.257951,0.479446,10.6547,35587,3fec8a9,2026-08-24T11:16:14Z
ab_partial_select,256,3,1,0.135527,0.0874986,0.263483,0.488471,11.0835,35338,3fec8a9,2026-08-24T11:16:15Z
ab_partial_select,256,3,2,0.13369,0.0850164,0.250874,0.471466,11.0835,35338,3fec8a9,2026-08-24T11:16:16Z
ab_partial_select,256,3,3,0.138505,0.0882326,0.26091,0.489589,11.0835,35338,3fec8a9,2026-08-24T11:16:16Z
ab_partial_select,256,3,4,0.136994,0.0862806,0.254252,0.479507,11.0835,35338,3fec8a9,2026-08-24T11:16:17Z
ab_partial_select,256,3,5,0.136956,0.0852394,0.252726,0.476676,11.0835,35338,3fec8a9,2026-08-24T11:16:18Z
ab_batcher_sort,256,3,1,0.135432,0.0886969,0.430392,0.656639,15.5823,45351,3fec8a9,2026-08-24T11:16:20Z
ab_batcher_sort,256,3,2,0.136662,0.08648,0.423904,0.649173,15.5823,45351,3fec8a9,2026-08-24T11:16:21Z
ab_batcher_sort,256,3,3,0.132448,0.0849813,0.421597,0.640486,15.5823,45351,3fec8a9,2026-08-24T11:16:21Z
ab_batcher_sort,256,3,4,0.143462,0.0858803,0.423315,0.654421,15.5823,45351,3fec8a9,2026-08-24T11:16:22Z
ab_batcher_sort,256,3,5,0.135252,0.0883834,0.434241,0.659704,15.5823,45351,3fec8a9,2026-08-24T11:16:23Z
