variant,N,m_max,trial,P1_s,P2_s,P3_s,total_s,global_MB,rounds,rev,timestamp
hybrid_queue,128,3,1,0.160466,0.00118486,0.56192,0.732073,199.574,16661,3fec8a9,2026-08-24T11:16:24Z
hybrid_queue,128,3,2,0.162367,0.00121212,0.566842,0.738056,199.574,16661,3fec8a9,2026-08-24T11:16:25Z
hybrid_queue,128,3,3,0.163603,0.00122064,0.557664,0.730112,199.574,16661,3fec8a9,2026-08-24T11:16:26Z
hybrid_queue,128,3,4,0.174265,0.00161842,0.615222,0.799188,199.574,16661,3fec8a9,2026-08-24T11:16:27Z
hybrid_queue,128,3,5,0.160971,0.00123315,0.553374,0.723338,199.574,16661,3fec8a9,2026-08-24T11:16:27Z
hybrid_partial_select,128,3,1,0.161653,0.00132713,0.552876,0.718469,195.495,16373,3fec8a9,2026-08-24T11:16:29Z
hybrid_partial_select,128,3,2,0.165199,0.0012709,0.567069,0.736187,195.495,16373,3fec8a9,2026-08-24T11:16:29Z
hybrid_partial_select,128,3,3,0.161405,0.00124731,0.544398,0.709618,195.495,16373,3fec8a9,2026-08-24T11:16:30Z
hybrid_partial_select,128,3,4,0.160793,0.00123699,0.536233,0.700932,195.495,16373,3fec8a9,2026-08-24T11:16:31Z
hybrid_partial_select,128,3,5,0.163192,0.0012523,0.54606,0.713093,195.495,16373,3fec8a9,2026-08-24T11:16:32Z
hybrid_batcher_sort,128,3,1,0.154298,0.00116816,1.05348,1.21158,407.567,9081,3fec8a9,2026-08-24T11:16:34Z
hybrid_batcher_sort,128,3,2,0.156007,0.00115484,0.953778,1.11322,407.567,9081,3fec8a9,2026-08-24T11:16:36Z
hybrid_batcher_sort,128,3,3,0.158815,0.0012004,0.959227,1.1215,407.567,9081,3fec8a9,2026-08-24T11:16:37Z
hybrid_batcher_sort,128,3,4,0.172687,0.00192183,1.06665,1.24399,407.567,9081,3fec8a9,2026-08-24T11:16:38Z
hybrid_batcher_sort,128,3,5,0.160056,0.00115625,1.0197,1.18336,407.567,9081,3fec8a9,2026-08-24T11:16:40Z
ab_queue,128,3,1,0.0772448,0.0420774,0.132379,0.253248,5.50432,17896,3fec8a9,2026-08-24T11:16:40Z
ab_queue,128,3,2,0.0820684,0.0419564,0.15275,0.279096,5.50432,17896,3fec8a9,2026-08-24T11:16:41Z
ab_queue,128,3,3,0.0763084,0.0402146,0.133202,0.25154,5.50432,17896,3fec8a9,2026-08-24T11:16:41Z
ab_queue,128,3,4,0.0760413,0.0398211,0.129704,0.247253,5.50432,17896,3fec8a9,2026-08-24T11:16:42Z
ab_queue,128,3,5,0.0753378,0.0397699,0.130221,0.246606,5.50432,17896,3fec8a9,2026-08-24T11:16:42Z
ab_partial_select,128,3,1,0.0772024,0.0396903,0.132202,0.250897,6.10345,17647,3fec8a9,2026-08-24T11:16:43Z
ab_partial_select,128,3,2,0.0771434,0.0397823,0.137732,0.256353,6.10345,17647,3fec8a9,2026-08-24T11:16:43Z
ab_partial_select,128,3,3,0.0737043,0.0467374,0.159099,0.281699,6.10345,17647,3fec8a9,2026-08-24T11:16:44Z
ab_partial_select,128,3,4,0.0735961,0.0405922,0.127224,0.242755,6.10345,17647,3fec8a9,2026-08-24T11:16:44Z
ab_partial_select,128,3,5,0.0781301,0.0403658,0.134586,0.254865,6.10345,17647,3fec8a9,2026-08-24T11:16:44Z
ab_batcher_sort,128,3,1,0.0756002,0.0392052,0.171353,0.288032,7.45314,19194,3fec8a9,2026-08-24T11:16:46Z
ab_batcher_sort,128,3,2,0.0749321,0.0395445,0.170623,0.286705,7.45314,19194,3fec8a9,2026-08-24T11:16:46Z
ab_batcher_sort,128,3,3,0.077944,0.0405835,0.176143,0.296503,7.45314,19194,3fec8a9,2026-08-24T11:16:47Z
ab_batcher_sort,128,3,4,0.0769808,0.0403552,0.178361,0.297487,7.45314,19194,3fec8a9,2026-08-24T11:16:47Z
ab_batcher_sort,128,3,5,0.0859539,0.0480859,0.173675,0.30944,7.45314,19194,3fec8a9,2026-08-24T11:16:47Z
hybrid_queue,512,3,1,0.574748,0.00318057,2.31309,2.89536,790.066,66118,3fec8a9,2026-08-24T11:16:51Z
hybrid_queue,512,3,2,0.649227,0.0032524,2.244,2.90143,790.066,66118,3fec8a9,2026-08-24T11:16:54Z
hybrid_queue,512,3,3,0.582769,0.0031493,2.33829,2.92854,790.066,66118,3fec8a9,2026-08-24T11:16:57Z
hybrid_queue,512,3,4,0.568575,0.00286977,2.29026,2.86615,790.066,66118,3fec8a9,2026-08-24T11:17:00Z
hybrid_queue,512,3,5,0.575614,0.00322032,2.34122,2.9247,790.066,66118,3fec8a9,2026-08-24T11:17:03Z
hybrid_partial_select,512,3,1,0.575284,0.00285816,2.18239,2.77188,787.948,65839,3fec8a9,2026-08-24T11:17:06Z
hybrid_partial_select,512,3,2,0.591995,0.00328767,2.12483,2.72868,787.948,65839,3fec8a9,2026-08-24T11:17:09Z
hybrid_partial_select,512,3,3,0.561621,0.00288723,2.29679,2.87106,787.948,65839,3fec8a9,2026-08-24T11:17:12Z
hybrid_partial_select,512,3,4,0.62425,0.00300803,2.10301,2.73859,787.948,65839,3fec8a9,2026-08-24T11:17:15Z
hybrid_partial_select,512,3,5,0.617748,0.00430884,2.1572,2.78814,787.948,65839,3fec8a9,2026-08-24T11:17:18Z
hybrid_batcher_sort,512,3,1,0.58458,0.00296357,6.47388,7.0696,2592.22,47610,3fec8a9,2026-08-24T11:17:27Z
hybrid_batcher_sort,512,3,2,0.636907,0.00298895,6.37891,7.02748,2592.22,47610,3fec8a9,2026-08-24T11:17:34Z
hybrid_batcher_sort,512,3,3,0.581472,0.00302822,6.35509,6.94782,2592.22,47610,3fec8a9,2026-08-24T11:17:41Z
hybrid_batcher_sort,512,3,4,0.581499,0.00296501,6.47398,7.06658,2592.22,47610,3fec8a9,2026-08-24T11:17:48Z
hybrid_batcher_sort,512,3,5,0.62471,0.00310131,6.45035,7.08635,2592.22,47610,3fec8a9,2026-08-24T11:17:55Z
ab_queue,512,3,1,0.271419,0.184664,0.503715,0.962188,21.1797,71105,3fec8a9,2026-08-24T11:17:57Z
ab_queue,512,3,2,0.279428,0.189652,0.521112,0.992559,21.1797,71105,3fec8a9,2026-08-24T11:17:58Z
ab_queue,512,3,3,0.24768,0.184577,0.504716,0.939119,21.1797,71105,3fec8a9,2026-08-24T11:17:59Z
ab_queue,512,3,4,0.249589,0.182995,0.502571,0.937551,21.1797,71105,3fec8a9,2026-08-24T11:18:00Z
ab_queue,512,3,5,0.248964,0.182917,0.505208,0.939328,21.1797,71105,3fec8a9,2026-08-24T11:18:01Z
ab_partial_select,512,3,1,0.264812,0.217149,0.505948,0.989897,22.1198,70865,3fec8a9,2026-08-24T11:18:02Z
ab_partial_select,512,3,2,0.250505,0.184645,0.517402,0.954655,22.1198,70865,3fec8a9,2026-08-24T11:18:03Z
ab_partial_select,512,3,3,0.248332,0.183266,0.505624,0.939658,22.1198,70865,3fec8a9,2026-08-24T11:18:04Z
ab_partial_select,512,3,4,0.233618,0.172035,0.470322,0.87816,22.1198,70865,3fec8a9,2026-08-24T11:18:05Z
ab_partial_select,512,3,5,0.228733,0.170329,0.466962,0.86789,22.1198,70865,3fec8a9,2026-08-24T11:18:06Z
ab_batcher_sort,512,3,1,0.232488,0.17118,1.01065,1.41598,36.5748,107071,3fec8a9,2026-08-24T11:18:09Z
ab_batcher_sort,512,3,2,0.230092,0.168702,1.00434,1.40508,36.5748,107071,3fec8a9,2026-08-24T11:18:11Z
ab_batcher_sort,512,3,3,0.231421,0.171717,1.02694,1.43201,36.5748,107071,3fec8a9,2026-08-24T11:18:12Z
ab_batcher_sort,512,3,4,0.23665,0.17238,1.0318,1.44309,36.5748,107071,3fec8a9,2026-08-24T11:18:14Z
ab_batcher_sort,512,3,5,0.231537,0.171261,1.01625,1.4211,36.5748,107071,3fec8a9,2026-08-24T11:18:15Z
hybrid_queue,2048,3,1,2.04439,0.0113968,8.46009,10.5202,3155.92,263969,3fec8a9,2026-08-24T11:18:26Z
hybrid_queue,2048,3,2,2.00236,0.011268,8.06847,10.0865,3155.92,263969,3fec8a9,2026-08-24T11:18:36Z
hybrid_queue,2048,3,3,2.05113,0.0119912,8.09034,10.158,3155.92,263969,3fec8a9,2026-08-24T11:18:47Z
hybrid_queue,2048,3,4,2.14598,0.0166764,8.87926,11.0465,3155.92,263969,3fec8a9,2026-08-24T11:18:58Z
hybrid_queue,2048,3,5,1.96978,0.011243,7.75561,9.74105,3155.92,263969,3fec8a9,2026-08-24T11:19:08Z
hybrid_partial_select,2048,3,1,2.0284,0.0113584,7.82655,9.87539,3153.8,263690,3fec8a9,2026-08-24T11:19:18Z
