variant,N,m_max,trial,P1_s,P2_s,P3_s,total_s,global_MB,rounds,rev,timestamp
hybrid_queue,256,3,1,427.533,0.21015,1223.45,1658.64,397.101,33148,6a6d1ce,2026-08-24T15:52:39Z
hybrid_queue,256,3,2,427.544,0.210223,1223.2,1658.39,397.101,33148,6a6d1ce,2026-08-24T16:20:19Z
hybrid_queue,256,3,3,427.307,0.209645,1223.54,1658.5,397.101,33148,6a6d1ce,2026-08-24T16:47:58Z
hybrid_partial_select,256,3,1,427.491,0.209821,1209.14,1644.28,392.924,32860,6a6d1ce,2026-08-24T17:15:24Z
hybrid_partial_select,256,3,2,427.446,0.209621,1209.19,1644.29,392.924,32860,6a6d1ce,2026-08-24T17:42:49Z
hybrid_partial_select,256,3,3,427.475,0.210539,1208.84,1643.98,392.924,32860,6a6d1ce,2026-08-24T18:10:14Z
hybrid_batcher_sort,256,3,1,427.243,0.21026,594.602,1029.5,1039.93,20723,6a6d1ce,2026-08-24T18:27:26Z
hybrid_batcher_sort,256,3,2,427.375,0.209935,594.84,1029.87,1039.93,20723,6a6d1ce,2026-08-24T18:44:37Z
hybrid_batcher_sort,256,3,3,427.423,0.209637,594.892,1029.98,1039.93,20723,6a6d1ce,2026-08-24T19:01:48Z
ab_queue,256,3,1,421.54,333.784,1027.57,1783.4,10.6547,35587,6a6d1ce,2026-08-24T19:31:33Z
ab_queue,256,3,2,421.83,334.01,1028.05,1784.4,10.6547,35587,6a6d1ce,2026-08-24T20:01:18Z
ab_queue,256,3,3,421.688,334.482,1027.59,1784.28,10.6547,35587,6a6d1ce,2026-08-24T20:31:04Z
ab_partial_select,256,3,1,421.642,333.992,1015.38,1771.54,11.0835,35338,6a6d1ce,2026-08-24T21:00:37Z
ab_partial_select,256,3,2,421.642,333.828,1015.07,1771.04,11.0835,35338,6a6d1ce,2026-08-24T21:30:09Z
ab_partial_select,256,3,3,421.467,333.738,1014.87,1770.58,11.0835,35338,6a6d1ce,2026-08-24T21:59:41Z
ab_batcher_sort,256,3,1,421.511,333.854,1516.47,2272.34,15.5823,45351,6a6d1ce,2026-08-24T22:37:35Z
ab_batcher_sort,256,3,2,421.518,333.943,1516.42,2272.38,15.5823,45351,6a6d1ce,2026-08-24T23:15:28Z
ab_batcher_sort,256,3,3,421.45,333.843,1516.28,2272.08,15.5823,45351,6a6d1ce,2026-08-24T23:53:22Z
